"","Poll","Date","Sample","MoE","Clinton (D)","Trump (R)","Spread"
"1","RCP Average","10/10 - 10/21","--","--",48,41.9,"Clinton +6.1"
"2","IBD/TIPP TrackingIBD/TIPP Tracking","10/16 - 10/21","791 LV","3.6",42,42,"Tie"
"3","IBD/TIPP TrackingIBD/TIPP Tracking","10/15 - 10/20","779 LV","3.6",43,41,"Clinton +2"
"4","QuinnipiacQuinnipiac","10/17 - 10/18","1007 LV","3.1",50,44,"Clinton +6"
"5","LA Times/USC TrackingLA Times","10/15 - 10/21","3052 LV","4.5",44,44,"Tie"
"6","LA Times/USC TrackingLA Times","10/14 - 10/20","3001 LV","4.5",44,45,"Trump +1"
"7","Economist/YouGovEconomist","10/15 - 10/18","925 RV","3.9",47,43,"Clinton +4"
"8","FOX NewsFOX News","10/15 - 10/17","912 LV","3.0",49,42,"Clinton +7"
"9","BloombergBloomberg","10/14 - 10/17","1006 LV","3.1",50,41,"Clinton +9"
"10","Reuters/IpsosReuters","10/13 - 10/17","1190 LV","3.3",43,39,"Clinton +4"
"11","MonmouthMonmouth","10/14 - 10/16","726 LV","3.6",53,41,"Clinton +12"
"12","CBS NewsCBS News","10/12 - 10/16","1189 LV","3.0",51,40,"Clinton +11"
"13","NBC News/SMNBC News","10/10 - 10/16","24804 LV","1.0",51,43,"Clinton +8"
"14","ABC News/Wash PostABC/WP","10/10 - 10/13","740 LV","4.0",50,46,"Clinton +4"
"15","NBC News/Wall St. JrnlNBC/WSJ","10/10 - 10/13","905 LV","3.3",51,41,"Clinton +10"
"16","LA Times/USC TrackingLA Times","10/9 - 10/15","2946 LV","4.5",44,45,"Trump +1"
"17","FOX NewsFOX News","10/10 - 10/12","917 LV","3.0",49,41,"Clinton +8"
"18","NBC News/Wall St. JrnlNBC/WSJ","10/8 - 10/10","806 LV","3.5",50,40,"Clinton +10"
"19","Reuters/IpsosReuters","10/6 - 10/10","2363 LV","2.2",44,37,"Clinton +7"
"20","NBC News/Wall St. JrnlNBC/WSJ","10/8 - 10/9","447 LV","4.6",52,38,"Clinton +14"
"21","Economist/YouGovEconomist","10/7 - 10/8","971 RV","4.2",48,43,"Clinton +5"
"22","The AtlanticThe Atlantic","10/5 - 10/9","886 LV","3.9",49,38,"Clinton +11"
"23","LA Times/USC TrackingLA Times","10/4 - 10/10","2969 LV","4.5",43,45,"Trump +2"
"24","NBC News/SMNBC News","10/3 - 10/9","23329 LV","1.0",51,44,"Clinton +7"
"25","QuinnipiacQuinnipiac","10/5 - 10/6","1064 LV","3.0",50,44,"Clinton +6"
"26","FOX NewsFOX News","10/3 - 10/6","896 LV","3.0",48,44,"Clinton +4"
"27","Economist/YouGovEconomist","10/1 - 10/3","911 RV","3.9",48,43,"Clinton +5"
"28","Reuters/IpsosReuters","9/29 - 10/3","1239 LV","3.2",44,37,"Clinton +7"
"29","The Atlantic/PRRIThe Atlantic","9/28 - 10/2","609 LV","--",47,41,"Clinton +6"
"30","CBS NewsCBS News","9/28 - 10/2","1217 LV","4.0",49,43,"Clinton +6"
"31","CNN/ORCCNN/ORC","9/28 - 10/2","1213 LV","3.0",51,45,"Clinton +6"
"32","LA Times/USC TrackingLA Times","9/27 - 10/3","2275 LV","4.5",43,47,"Trump +4"
"33","FOX NewsFOX News","9/27 - 9/29","911 LV","3.0",49,44,"Clinton +5"
"34","NBC News/SMNBC News","9/26 - 10/2","26925 LV","1.0",50,44,"Clinton +6"
"35","PPP (D)PPP (D)","9/27 - 9/28","933 LV","3.2",49,45,"Clinton +4"
"36","GravisGravis","9/27 - 9/27","3386 RV","1.7",50,50,"Tie"
"37","Reuters/IpsosReuters","9/22 - 9/26","1041 LV","3.5",44,38,"Clinton +6"
"38","QuinnipiacQuinnipiac","9/22 - 9/25","1115 LV","2.9",47,46,"Clinton +1"
"39","BloombergBloomberg","9/21 - 9/24","1002 LV","3.1",46,46,"Tie"
"40","MonmouthMonmouth","9/22 - 9/25","729 LV","3.6",49,46,"Clinton +3"
"41","Economist/YouGovEconomist","9/22 - 9/24","948 RV","3.8",48,44,"Clinton +4"
"42","LA Times/USC TrackingLA Times","9/20 - 9/26","2726 LV","4.5",43,46,"Trump +3"
